year,GEOID,county,variable,estimate,moe
2014,13247,Rockdale County,"Less than $50,000",15992,2234.0848238148883
2014,13247,Rockdale County,"$100,000 to $149,999",3429,785.0203819010052
2014,13247,Rockdale County,"$150,000 to $199,999",899,447
2014,13247,Rockdale County,"$200,000 or more",596,315
2014,13247,Rockdale County,"$50,000 to $74,999",4991,1103.525260245546
2014,13247,Rockdale County,"$75,000 to $99,999",3800,960
2014,13247,Rockdale County,Total,29707,1045
2015,13057,Cherokee County,"Less than $50,000",27153,3190.8635194881026
2015,13057,Cherokee County,"$100,000 to $149,999",16054,2287.619942210681
2015,13057,Cherokee County,"$150,000 to $199,999",7527,1624
2015,13057,Cherokee County,"$200,000 or more",4579,1309
2015,13057,Cherokee County,"$50,000 to $74,999",14734,2538.0600859711735
2015,13057,Cherokee County,"$75,000 to $99,999",12617,1786
2015,13057,Cherokee County,Total,82664,1576
2015,13063,Clayton County,"Less than $50,000",52274,3859.457086171577
2015,13063,Clayton County,"$100,000 to $149,999",6925,1440.2277597657949
2015,13063,Clayton County,"$150,000 to $199,999",2053,793
2015,13063,Clayton County,"$200,000 or more",857,424
2015,13063,Clayton County,"$50,000 to $74,999",18419,1971.2759827076472
2015,13063,Clayton County,"$75,000 to $99,999",9845,1817
2015,13063,Clayton County,Total,90373,2455
2015,13067,Cobb County,"Less than $50,000",97194,5421.688482382587
2015,13067,Cobb County,"$100,000 to $149,999",47549,3510.1618196316817
2015,13067,Cobb County,"$150,000 to $199,999",20550,2219
2015,13067,Cobb County,"$200,000 or more",21129,1739
2015,13067,Cobb County,"$50,000 to $74,999",51176,3877.5520628355202
2015,13067,Cobb County,"$75,000 to $99,999",36870,2871
2015,13067,Cobb County,Total,274468,2387
2015,13089,DeKalb County,"Less than $50,000",126591,6153.451714281993
2015,13089,DeKalb County,"$100,000 to $149,999",35100,2674.167160070589
2015,13089,DeKalb County,"$150,000 to $199,999",14218,1867
2015,13089,DeKalb County,"$200,000 or more",18633,2040
2015,13089,DeKalb County,"$50,000 to $74,999",52861,4435.947362176427
2015,13089,DeKalb County,"$75,000 to $99,999",29228,2733
2015,13089,DeKalb County,Total,276631,3434
2015,13097,Douglas County,"Less than $50,000",19435,2705.3301092472984
2015,13097,Douglas County,"$100,000 to $149,999",7019,1519.896378046872
2015,13097,Douglas County,"$150,000 to $199,999",2279,807
2015,13097,Douglas County,"$200,000 or more",891,507
2015,13097,Douglas County,"$50,000 to $74,999",12560,1884.6352432234733
2015,13097,Douglas County,"$75,000 to $99,999",6309,1183
2015,13097,Douglas County,Total,48493,1326
2015,13113,Fayette County,"Less than $50,000",12279,1883.5118794422297
2015,13113,Fayette County,"$100,000 to $149,999",7722,1409.9677301271827
2015,13113,Fayette County,"$150,000 to $199,999",3560,895
2015,13113,Fayette County,"$200,000 or more",4846,1015
2015,13113,Fayette County,"$50,000 to $74,999",6589,1355.759565704775
2015,13113,Fayette County,"$75,000 to $99,999",4711,915
2015,13113,Fayette County,Total,39707,900
2015,13117,Forsyth County,"Less than $50,000",17068,1947.6149516780774
2015,13117,Forsyth County,"$100,000 to $149,999",16666,1689.8428921056536
2015,13117,Forsyth County,"$150,000 to $199,999",8585,1300
2015,13117,Forsyth County,"$200,000 or more",8367,1135
2015,13117,Forsyth County,"$50,000 to $74,999",10955,1283.414975758036
2015,13117,Forsyth County,"$75,000 to $99,999",8392,931
2015,13117,Forsyth County,Total,70033,1252
2015,13121,Fulton County,"Less than $50,000",169663,7812.13568750569
2015,13121,Fulton County,"$100,000 to $149,999",52749,3691.8940938223027
2015,13121,Fulton County,"$150,000 to $199,999",24975,2413
2015,13121,Fulton County,"$200,000 or more",42786,2571
2015,13121,Fulton County,"$50,000 to $74,999",61761,4359.862039101697
2015,13121,Fulton County,"$75,000 to $99,999",40860,3320
2015,13121,Fulton County,Total,392794,4407
2015,13135,Gwinnett County,"Less than $50,000",110018,5860.123548185652
2015,13135,Gwinnett County,"$100,000 to $149,999",44916,3425.070656205504
2015,13135,Gwinnett County,"$150,000 to $199,999",16819,2018
2015,13135,Gwinnett County,"$200,000 or more",13821,1869
2015,13135,Gwinnett County,"$50,000 to $74,999",58925,4303.702708134008
2015,13135,Gwinnett County,"$75,000 to $99,999",40132,3419
2015,13135,Gwinnett County,Total,284631,2842
2015,13151,Henry County,"Less than $50,000",27131,3150.0663485075993
2015,13151,Henry County,"$100,000 to $149,999",11642,2024.4134953116668
2015,13151,Henry County,"$150,000 to $199,999",3301,943
2015,13151,Henry County,"$200,000 or more",2374,792
2015,13151,Henry County,"$50,000 to $74,999",14729,2246.5128532906283
2015,13151,Henry County,"$75,000 to $99,999",12504,1941
2015,13151,Henry County,Total,71681,2077
2015,13247,Rockdale County,"Less than $50,000",15286,2014.5820906580104
2015,13247,Rockdale County,"$100,000 to $149,999",3954,1283.7495861732536
2015,13247,Rockdale County,"$150,000 to $199,999",1601,736
2015,13247,Rockdale County,"$200,000 or more",435,313
2015,13247,Rockdale County,"$50,000 to $74,999",6819,1464.5221063541512
2015,13247,Rockdale County,"$75,000 to $99,999",3136,907
2015,13247,Rockdale County,Total,31231,1007
2016,13057,Cherokee County,"Less than $50,000",23031,2745.1794112589437
2016,13057,Cherokee County,"$100,000 to $149,999",17159,2679.6061277732592
2016,13057,Cherokee County,"$150,000 to $199,999",8230,1915
2016,13057,Cherokee County,"$200,000 or more",6248,1213
2016,13057,Cherokee County,"$50,000 to $74,999",16377,2475.1034321821785
2016,13057,Cherokee County,"$75,000 to $99,999",13043,2565
2016,13057,Cherokee County,Total,84088,1934
2016,13063,Clayton County,"Less than $50,000",51955,3750.492634308192
2016,13063,Clayton County,"$100,000 to $149,999",8546,1625.4910027434787
2016,13063,Clayton County,"$150,000 to $199,999",1104,417
2016,13063,Clayton County,"$200,000 or more",1665,837
2016,13063,Clayton County,"$50,000 to $74,999",20421,2581.825904277823
2016,13063,Clayton County,"$75,000 to $99,999",10655,1612
2016,13063,Clayton County,Total,94346,2051
2016,13067,Cobb County,"Less than $50,000",94946,6071.55589614392
2016,13067,Cobb County,"$100,000 to $149,999",47957,3741.307391808377
2016,13067,Cobb County,"$150,000 to $199,999",23537,2812
2016,13067,Cobb County,"$200,000 or more",23991,2219
2016,13067,Cobb County,"$50,000 to $74,999",51417,4085.886072812114
2016,13067,Cobb County,"$75,000 to $99,999",36101,2756
2016,13067,Cobb County,Total,277949,2711
2016,13089,DeKalb County,"Less than $50,000",125836,6391.6823294028
2016,13089,DeKalb County,"$100,000 to $149,999",37047,3022.2392360632207
2016,13089,DeKalb County,"$150,000 to $199,999",16545,2055
2016,13089,DeKalb County,"$200,000 or more",19772,2096
2016,13089,DeKalb County,"$50,000 to $74,999",50845,3992.3960224406596
2016,13089,DeKalb County,"$75,000 to $99,999",31311,2930
2016,13089,DeKalb County,Total,281356,3760
2016,13097,Douglas County,"Less than $50,000",19954,2555.964201627245
2016,13097,Douglas County,"$100,000 to $149,999",8493,1592.6622366339952
2016,13097,Douglas County,"$150,000 to $199,999",2862,845
2016,13097,Douglas County,"$200,000 or more",1733,764
2016,13097,Douglas County,"$50,000 to $74,999",8868,1431.8337892367256
2016,13097,Douglas County,"$75,000 to $99,999",6991,1808
2016,13097,Douglas County,Total,48901,1209
2016,13113,Fayette County,"Less than $50,000",10161,1716.2225962852256
2016,13113,Fayette County,"$100,000 to $149,999",6932,1221.6075474554011
2016,13113,Fayette County,"$150,000 to $199,999",3854,997
2016,13113,Fayette County,"$200,000 or more",4985,1051
2016,13113,Fayette County,"$50,000 to $74,999",8147,1457.3029884001473
2016,13113,Fayette County,"$75,000 to $99,999",5967,1308
2016,13113,Fayette County,Total,40046,922
2016,13117,Forsyth County,"Less than $50,000",16936,1897.6986062070025
2016,13117,Forsyth County,"$100,000 to $149,999",16371,1671.8953316520744
2016,13117,Forsyth County,"$150,000 to $199,999",9878,1143
2016,13117,Forsyth County,"$200,000 or more",10508,1184
2016,13117,Forsyth County,"$50,000 to $74,999",9563,1383.494850008485
2016,13117,Forsyth County,"$75,000 to $99,999",8952,1170
2016,13117,Forsyth County,Total,72208,1311
2016,13121,Fulton County,"Less than $50,000",159444,7754.284299662993
2016,13121,Fulton County,"$100,000 to $149,999",53816,3928.32037899151
2016,13121,Fulton County,"$150,000 to $199,999",24897,2173
2016,13121,Fulton County,"$200,000 or more",47087,3394
2016,13121,Fulton County,"$50,000 to $74,999",67432,5045.480452840939
2016,13121,Fulton County,"$75,000 to $99,999",43508,3957
2016,13121,Fulton County,Total,396184,4547
2016,13135,Gwinnett County,"Less than $50,000",104622,6073.013996361279
2016,13135,Gwinnett County,"$100,000 to $149,999",44684,3931.342900333167
2016,13135,Gwinnett County,"$150,000 to $199,999",18719,2122
2016,13135,Gwinnett County,"$200,000 or more",18227,2729
2016,13135,Gwinnett County,"$50,000 to $74,999",55943,4686.5526776085635
2016,13135,Gwinnett County,"$75,000 to $99,999",48210,4174
2016,13135,Gwinnett County,Total,290405,2752
2016,13151,Henry County,"Less than $50,000",27613,3231.9251228950216
2016,13151,Henry County,"$100,000 to $149,999",11995,2062.213616481086
2016,13151,Henry County,"$150,000 to $199,999",3530,1081
2016,13151,Henry County,"$200,000 or more",3628,1058
2016,13151,Henry County,"$50,000 to $74,999",14584,2366.925643107531
2016,13151,Henry County,"$75,000 to $99,999",13123,2100
2016,13151,Henry County,Total,74473,1560
2016,13247,Rockdale County,"Less than $50,000",12793,2020.5811045340397
2016,13247,Rockdale County,"$100,000 to $149,999",4365,1165.1905423577725
2016,13247,Rockdale County,"$150,000 to $199,999",1323,635
2016,13247,Rockdale County,"$200,000 or more",965,504
2016,13247,Rockdale County,"$50,000 to $74,999",6785,1472.3943086007905
2016,13247,Rockdale County,"$75,000 to $99,999",4150,1039
2016,13247,Rockdale County,Total,30381,1165
2017,13057,Cherokee County,"Less than $50,000",26588,3170.0846991839194
2017,13057,Cherokee County,"$100,000 to $149,999",19207,2733.6751818751254
2017,13057,Cherokee County,"$150,000 to $199,999",7311,1392
2017,13057,Cherokee County,"$200,000 or more",6127,1462
2017,13057,Cherokee County,"$50,000 to $74,999",17389,2357.1383073549164
2017,13057,Cherokee County,"$75,000 to $99,999",12888,2019
2017,13057,Cherokee County,Total,89510,1418
2017,13063,Clayton County,"Less than $50,000",52413,4316.2867142950545
2017,13063,Clayton County,"$100,000 to $149,999",7322,1428.5926641278822
2017,13063,Clayton County,"$150,000 to $199,999",1166,662
2017,13063,Clayton County,"$200,000 or more",897,474
2017,13063,Clayton County,"$50,000 to $74,999",19655,2561.10679199443
2017,13063,Clayton County,"$75,000 to $99,999",12746,1740
2017,13063,Clayton County,Total,94199,2084
2017,13067,Cobb County,"Less than $50,000",92493,5664.881905212146
2017,13067,Cobb County,"$100,000 to $149,999",48603,3665.0306956422614
2017,13067,Cobb County,"$150,000 to $199,999",27199,2415
2017,13067,Cobb County,"$200,000 or more",26418,2466
2017,13067,Cobb County,"$50,000 to $74,999",45209,3705.174759711072
2017,13067,Cobb County,"$75,000 to $99,999",37687,3057
2017,13067,Cobb County,Total,277609,3623
2017,13089,DeKalb County,"Less than $50,000",110589,5949.90957914488
2017,13089,DeKalb County,"$100,000 to $149,999",38316,3375.3841262884434
2017,13089,DeKalb County,"$150,000 to $199,999",17786,2083
2017,13089,DeKalb County,"$200,000 or more",22553,2008
2017,13089,DeKalb County,"$50,000 to $74,999",52829,4372.5530299814545
2017,13089,DeKalb County,"$75,000 to $99,999",36176,3595
2017,13089,DeKalb County,Total,278249,3395
2017,13097,Douglas County,"Less than $50,000",20713,2820.562355275983
2017,13097,Douglas County,"$100,000 to $149,999",7141,1518.2022263190106
2017,13097,Douglas County,"$150,000 to $199,999",3008,891
2017,13097,Douglas County,"$200,000 or more",1163,528
2017,13097,Douglas County,"$50,000 to $74,999",10392,2208.649587417615
2017,13097,Douglas County,"$75,000 to $99,999",7545,1513
2017,13097,Douglas County,Total,49962,1073
2017,13113,Fayette County,"Less than $50,000",10684,1954.7808061263545
2017,13113,Fayette County,"$100,000 to $149,999",8241,1420.9338478620318
2017,13113,Fayette County,"$150,000 to $199,999",5088,918
2017,13113,Fayette County,"$200,000 or more",4055,904
2017,13113,Fayette County,"$50,000 to $74,999",7543,1578.6972477330794
2017,13113,Fayette County,"$75,000 to $99,999",4873,923
2017,13113,Fayette County,Total,40484,851
2017,13117,Forsyth County,"Less than $50,000",15884,1880.5305102550185
2017,13117,Forsyth County,"$100,000 to $149,999",17181,1630.7262185909688
2017,13117,Forsyth County,"$150,000 to $199,999",10554,1278
2017,13117,Forsyth County,"$200,000 or more",12881,1298
2017,13117,Forsyth County,"$50,000 to $74,999",11606,1541.6588468270145
2017,13117,Forsyth County,"$75,000 to $99,999",10193,1439
2017,13117,Forsyth County,Total,78299,925
2017,13121,Fulton County,"Less than $50,000",160553,8222.0831302049
2017,13121,Fulton County,"$100,000 to $149,999",56511,4195.347542218642
2017,13121,Fulton County,"$150,000 to $199,999",27085,2227
2017,13121,Fulton County,"$200,000 or more",54000,2872
2017,13121,Fulton County,"$50,000 to $74,999",69910,5711.349140089406
2017,13121,Fulton County,"$75,000 to $99,999",42349,3636
2017,13121,Fulton County,Total,410408,5779
2017,13135,Gwinnett County,"Less than $50,000",101014,6094.809102834969
2017,13135,Gwinnett County,"$100,000 to $149,999",50538,3797.911663006395
2017,13135,Gwinnett County,"$150,000 to $199,999",20847,1896
2017,13135,Gwinnett County,"$200,000 or more",19717,2065
2017,13135,Gwinnett County,"$50,000 to $74,999",57123,4738.323121105187
2017,13135,Gwinnett County,"$75,000 to $99,999",43440,3845
2017,13135,Gwinnett County,Total,292679,3132
2017,13151,Henry County,"Less than $50,000",27305,3397.9061199509324
2017,13151,Henry County,"$100,000 to $149,999",12445,2281.2123969503587
2017,13151,Henry County,"$150,000 to $199,999",4567,1281
2017,13151,Henry County,"$200,000 or more",3147,1042
2017,13151,Henry County,"$50,000 to $74,999",15263,2336.0008561642267
2017,13151,Henry County,"$75,000 to $99,999",14443,2237
2017,13151,Henry County,Total,77170,1577
2017,13247,Rockdale County,"Less than $50,000",11289,2031.5575305661418
2017,13247,Rockdale County,"$100,000 to $149,999",4431,1215.082301739269
2017,13247,Rockdale County,"$150,000 to $199,999",1587,795
2017,13247,Rockdale County,"$200,000 or more",1720,779
2017,13247,Rockdale County,"$50,000 to $74,999",6684,1519.8766397310014
2017,13247,Rockdale County,"$75,000 to $99,999",4138,1182
2017,13247,Rockdale County,Total,29849,1103
2018,13057,Cherokee County,"Less than $50,000",27696,3250.1643035391303
2018,13057,Cherokee County,"$100,000 to $149,999",18979,2349.5508081333332
2018,13057,Cherokee County,"$150,000 to $199,999",7998,1428
2018,13057,Cherokee County,"$200,000 or more",9159,1956
2018,13057,Cherokee County,"$50,000 to $74,999",13473,1986.3083849191194
2018,13057,Cherokee County,"$75,000 to $99,999",12669,2021
2018,13057,Cherokee County,Total,89974,1560
2018,13063,Clayton County,"Less than $50,000",50460,4482.765887262015
2018,13063,Clayton County,"$100,000 to $149,999",11521,2182.224782189039
2018,13063,Clayton County,"$150,000 to $199,999",1635,747
2018,13063,Clayton County,"$200,000 or more",868,372
2018,13063,Clayton County,"$50,000 to $74,999",20092,2700.5601270847496
2018,13063,Clayton County,"$75,000 to $99,999",11710,2513
2018,13063,Clayton County,Total,96286,2093
2018,13067,Cobb County,"Less than $50,000",82893,5558.127382491337
2018,13067,Cobb County,"$100,000 to $149,999",50404,3450.2354992087135
2018,13067,Cobb County,"$150,000 to $199,999",27108,2540
2018,13067,Cobb County,"$200,000 or more",32675,2761
2018,13067,Cobb County,"$50,000 to $74,999",51549,4014.0378672852603
2018,13067,Cobb County,"$75,000 to $99,999",38465,3240
2018,13067,Cobb County,Total,283094,3547
2018,13089,DeKalb County,"Less than $50,000",112591,6278.6913445398795
2018,13089,DeKalb County,"$100,000 to $149,999",43682,3650.881537382444
2018,13089,DeKalb County,"$150,000 to $199,999",19333,1768
2018,13089,DeKalb County,"$200,000 or more",26329,2174
2018,13089,DeKalb County,"$50,000 to $74,999",49467,3798.984337951395
2018,13089,DeKalb County,"$75,000 to $99,999",35599,3860
2018,13089,DeKalb County,Total,287001,3281
2018,13097,Douglas County,"Less than $50,000",20648,3209.0899021373643
2018,13097,Douglas County,"$100,000 to $149,999",10198,1971.4058435542895
2018,13097,Douglas County,"$150,000 to $199,999",3079,1111
2018,13097,Douglas County,"$200,000 or more",1844,664
2018,13097,Douglas County,"$50,000 to $74,999",9141,1794.0930856563714
2018,13097,Douglas County,"$75,000 to $99,999",4624,1229
2018,13097,Douglas County,Total,49534,1582
2018,13113,Fayette County,"Less than $50,000",9795,1696.3908747691376
2018,13113,Fayette County,"$100,000 to $149,999",8001,1418.429060616004
2018,13113,Fayette County,"$150,000 to $199,999",3971,1138
2018,13113,Fayette County,"$200,000 or more",6793,998
2018,13113,Fayette County,"$50,000 to $74,999",5782,1113.1149985513625
2018,13113,Fayette County,"$75,000 to $99,999",5024,1238
2018,13113,Fayette County,Total,39366,1116
2018,13117,Forsyth County,"Less than $50,000",16675,1849.940539584989
2018,13117,Forsyth County,"$100,000 to $149,999",18688,1824.979177963409
2018,13117,Forsyth County,"$150,000 to $199,999",9145,1290
2018,13117,Forsyth County,"$200,000 or more",15378,1501
2018,13117,Forsyth County,"$50,000 to $74,999",10514,1762.078602106047
2018,13117,Forsyth County,"$75,000 to $99,999",10953,1475
2018,13117,Forsyth County,Total,81353,873
2018,13121,Fulton County,"Less than $50,000",146559,7444.927266266609
2018,13121,Fulton County,"$100,000 to $149,999",57294,4416.24840786838
2018,13121,Fulton County,"$150,000 to $199,999",32822,3584
2018,13121,Fulton County,"$200,000 or more",60286,3469
2018,13121,Fulton County,"$50,000 to $74,999",73774,5015.448633970844
2018,13121,Fulton County,"$75,000 to $99,999",46422,4071
2018,13121,Fulton County,Total,417157,5974
2018,13135,Gwinnett County,"Less than $50,000",100340,6263.068417317505
2018,13135,Gwinnett County,"$100,000 to $149,999",53178,4158.759550635261
2018,13135,Gwinnett County,"$150,000 to $199,999",23850,2810
2018,13135,Gwinnett County,"$200,000 or more",19893,2319
2018,13135,Gwinnett County,"$50,000 to $74,999",53545,4251.5813528615445
2018,13135,Gwinnett County,"$75,000 to $99,999",46852,4149
2018,13135,Gwinnett County,Total,297658,2747
2018,13151,Henry County,"Less than $50,000",23592,2924.0068399372803
2018,13151,Henry County,"$100,000 to $149,999",14330,2376.64048606431
2018,13151,Henry County,"$150,000 to $199,999",6911,1749
2018,13151,Henry County,"$200,000 or more",4921,1535
2018,13151,Henry County,"$50,000 to $74,999",14898,2442.2041274226035
2018,13151,Henry County,"$75,000 to $99,999",11274,1953
2018,13151,Henry County,Total,75926,1908
2018,13247,Rockdale County,"Less than $50,000",12241,2024.8056696878346
2018,13247,Rockdale County,"$100,000 to $149,999",5769,1508.0997977587558
2018,13247,Rockdale County,"$150,000 to $199,999",1689,839
2018,13247,Rockdale County,"$200,000 or more",1673,617
2018,13247,Rockdale County,"$50,000 to $74,999",6248,1457.572296663188
2018,13247,Rockdale County,"$75,000 to $99,999",3840,1003
2018,13247,Rockdale County,Total,31460,985
2019,13057,Cherokee County,"Less than $50,000",23465,3218.57064548846
2019,13057,Cherokee County,"$100,000 to $149,999",20342,2996.8224838985707
2019,13057,Cherokee County,"$150,000 to $199,999",10254,1983
2019,13057,Cherokee County,"$200,000 or more",8610,1638
2019,13057,Cherokee County,"$50,000 to $74,999",17647,2796.168807493568
2019,13057,Cherokee County,"$75,000 to $99,999",13123,2197
2019,13057,Cherokee County,Total,93441,1407
2019,13063,Clayton County,"Less than $50,000",46675,4586.852297600174
2019,13063,Clayton County,"$100,000 to $149,999",11122,2220.575826221658
2019,13063,Clayton County,"$150,000 to $199,999",3462,1562
2019,13063,Clayton County,"$200,000 or more",1121,539
2019,13063,Clayton County,"$50,000 to $74,999",24464,3455.3473052646964
2019,13063,Clayton County,"$75,000 to $99,999",10186,1545
2019,13063,Clayton County,Total,97030,1802
2019,13067,Cobb County,"Less than $50,000",85221,6164.573059020389
2019,13067,Cobb County,"$100,000 to $149,999",48761,3809.2189488135227
2019,13067,Cobb County,"$150,000 to $199,999",28694,2946
2019,13067,Cobb County,"$200,000 or more",33633,3009
2019,13067,Cobb County,"$50,000 to $74,999",49883,4555.726177021617
2019,13067,Cobb County,"$75,000 to $99,999",40760,3676
2019,13067,Cobb County,Total,286952,3167
2019,13089,DeKalb County,"Less than $50,000",115512,6955.365554735423
2019,13089,DeKalb County,"$100,000 to $149,999",38595,3298.104000785906
2019,13089,DeKalb County,"$150,000 to $199,999",18890,2727
2019,13089,DeKalb County,"$200,000 or more",30574,2202
2019,13089,DeKalb County,"$50,000 to $74,999",49466,4177.182064502336
2019,13089,DeKalb County,"$75,000 to $99,999",36792,3239
2019,13089,DeKalb County,Total,289829,3342
2019,13097,Douglas County,"Less than $50,000",19722,3156.7814305079787
2019,13097,Douglas County,"$100,000 to $149,999",7517,1876.8745296369707
2019,13097,Douglas County,"$150,000 to $199,999",3113,1274
2019,13097,Douglas County,"$200,000 or more",2313,951
2019,13097,Douglas County,"$50,000 to $74,999",8749,1841.5724259447413
2019,13097,Douglas County,"$75,000 to $99,999",7485,1606
2019,13097,Douglas County,Total,48899,1680
2019,13113,Fayette County,"Less than $50,000",8751,1644.813667258392
2019,13113,Fayette County,"$100,000 to $149,999",7971,1390.9342184301888
2019,13113,Fayette County,"$150,000 to $199,999",4188,1057
2019,13113,Fayette County,"$200,000 or more",6733,949
2019,13113,Fayette County,"$50,000 to $74,999",7598,1529.6643422659756
2019,13113,Fayette County,"$75,000 to $99,999",6012,1193
2019,13113,Fayette County,Total,41253,1092
2019,13117,Forsyth County,"Less than $50,000",14545,1926.9104805361353
2019,13117,Forsyth County,"$100,000 to $149,999",18360,1910.9892726020207
2019,13117,Forsyth County,"$150,000 to $199,999",12475,1392
2019,13117,Forsyth County,"$200,000 or more",15466,1442
2019,13117,Forsyth County,"$50,000 to $74,999",11794,1629.9644167895199
2019,13117,Forsyth County,"$75,000 to $99,999",9125,1402
2019,13117,Forsyth County,Total,81765,1731
2019,13121,Fulton County,"Less than $50,000",144465,8149.7816535168595
2019,13121,Fulton County,"$100,000 to $149,999",70922,5899.379119873548
2019,13121,Fulton County,"$150,000 to $199,999",39845,3577
2019,13121,Fulton County,"$200,000 or more",71258,4430
2019,13121,Fulton County,"$50,000 to $74,999",63202,5388.332766264533
2019,13121,Fulton County,"$75,000 to $99,999",49886,5058
2019,13121,Fulton County,Total,439578,4514
2019,13135,Gwinnett County,"Less than $50,000",96763,7081.838744281036
2019,13135,Gwinnett County,"$100,000 to $149,999",55559,4983.761330561487
2019,13135,Gwinnett County,"$150,000 to $199,999",25516,2796
2019,13135,Gwinnett County,"$200,000 or more",22941,2730
2019,13135,Gwinnett County,"$50,000 to $74,999",59260,5425.252989492748
2019,13135,Gwinnett County,"$75,000 to $99,999",41432,4311
2019,13135,Gwinnett County,Total,301471,3216
2019,13151,Henry County,"Less than $50,000",23521,3520.1252818614284
2019,13151,Henry County,"$100,000 to $149,999",16268,2404.0619792343127
2019,13151,Henry County,"$150,000 to $199,999",5565,1541
2019,13151,Henry County,"$200,000 or more",4768,1391
2019,13151,Henry County,"$50,000 to $74,999",17386,3383.3060754238595
2019,13151,Henry County,"$75,000 to $99,999",12042,2221
2019,13151,Henry County,Total,79550,1820
2019,13247,Rockdale County,"Less than $50,000",13651,2425.566944035971
2019,13247,Rockdale County,"$100,000 to $149,999",6113,1467.9226818875713
2019,13247,Rockdale County,"$150,000 to $199,999",712,437
2019,13247,Rockdale County,"$200,000 or more",2052,878
2019,13247,Rockdale County,"$50,000 to $74,999",5661,1551.104445226046
2019,13247,Rockdale County,"$75,000 to $99,999",4603,1238
2019,13247,Rockdale County,Total,32792,684
